filename,Strain name
GCF_000163235.1_ASM16323v1_genomic.fna,FVEC1412
GCF_000164555.1_ASM16455v1_genomic.fna,MS 196-1
GCF_000208545.1_ASM20854v2_genomic.fna,TW10509
GCF_000233875.1_ASM23387v1_genomic.fna,D-i2
GCF_000249735.1_ASM24973v2_genomic.fna,DEC7C
GCF_000261145.1_Esch_coli_M919_V2_genomic.fna,M919
GCF_000267705.2_ASM26770v2_genomic.fna,PA33
GCF_000350665.1_Esch_coli_KTE5_V1_genomic.fna,KTE5
GCF_000351625.1_Esch_coli_KTE66_V1_genomic.fna,KTE66
GCF_000352285.1_Esch_coli_KTE46_V1_genomic.fna,KTE46
GCF_000358895.1_ASM35889v1_genomic.fna,gec178200
GCF_000456385.1_Esch_coli_HVH_26_4-5703913_V1_genomic.fna,HVH 26
GCF_000458195.1_Esch_coli_HVH_147_4-5893887_V1_genomic.fna,HVH 147
GCF_000459755.1_Esch_coli_KOEGE_58_171a_V1_genomic.fna,KOEGE 58
GCF_000460055.1_Esch_coli_UMEA_3053-1_V1_genomic.fna,UMEA 3053
GCF_000462165.2_ASM46216v2_genomic.fna,gecT92401
GCF_000601135.1_ASM60113v1_genomic.fna,e117605S3C1
GCF_000614595.1_Ec2010EL1058_genomic.fna,O121:H19
GCF_000617745.1_Ec2010C-4529_genomic.fna,O103:H25
GCF_000618265.2_EcF6751_genomic.fna,O157:H7
GCF_000619005.2_Ec2009C-4052_genomic.fna,O111:NM
GCF_000619105.1_Ec2009C-4780_genomic.fna,O45:H2
GCF_000619765.2_Ec2009C-3279_genomic.fna,O103:H2
GCF_000687005.1_ASM68700v1_genomic.fna,e117605S4C2
GCF_000687025.1_ASM68702v1_genomic.fna,e201108S3C2
GCF_000700125.1_ASM70012v1_genomic.fna,e310505S1C1
GCF_000753315.1_FHI35_genomic.fna,FHI35
GCF_000776375.1_ASM77637v1_genomic.fna,upec-73
GCF_000779395.1_ASM77939v1_genomic.fna,upec-2
GCF_000780315.1_ASM78031v1_genomic.fna,upec-154
GCF_000781995.1_ASM78199v1_genomic.fna,blood-09-0856
GCF_000986765.1_ASM98676v1_genomic.fna,C227-11
GCF_001041375.1_ViralProj287958_genomic.fna,CICC80001
GCF_001265335.1_302014_genomic.fna,302014
GCF_001265625.1_100854_genomic.fna,100854
GCF_001267345.1_303289_genomic.fna,303289
GCF_001309985.1_ASM130998v1_genomic.fna,1935-1
GCF_001521695.1_ASM152169v1_genomic.fna,GN03624
GCF_001592595.1_ASM159259v1_genomic.fna,EC404/03
GCF_001614975.1_ASM161497v1_genomic.fna,swine72
GCF_001692775.1_ASM169277v1_genomic.fna,1409150006
GCF_001748915.1_ASM174891v1_genomic.fna,AF7759-1
GCF_001749235.1_ASM174923v1_genomic.fna,K6412
GCF_001881155.1_ASM188115v1_genomic.fna,USVAST184
GCF_001881345.1_ASM188134v1_genomic.fna,SF-596
GCF_001892405.1_ASM189240v1_genomic.fna,BN4_461
GCF_001892585.1_ASM189258v1_genomic.fna,BN4_676
GCF_001893985.1_ASM189398v1_genomic.fna,BN4_469
GCF_002001595.1_ASM200159v1_genomic.fna,3.3-R2
GCF_002002145.1_ASM200214v1_genomic.fna,6.2-R1